conf,all_acc,prsn_acc,prd_acc,long_cotton_prsn,long_cotton_prd,long_denim_prsn,long_denim_prd,long_skirt_prsn,long_skirt_prd,long_slacks_prsn,long_slacks_prd,midi_skirt_prsn,midi_skirt_prd,mini_skirt_prsn,mini_skirt_prd,shorts_prsn,shorts_prd,jump_suite_prsn,jump_suite_prd,maxi_onepiece_prsn,maxi_onepiece_prd,midi_onepiece_prsn,midi_onepiece_prd,mini_onepiece_prsn,mini_onepiece_prd,half_sleeve_prsn,half_sleeve_prd,hood_prsn,hood_prd,knit_sweater_prsn,knit_sweater_prd,longsleeve_prsn,longsleeve_prd,shirts_blouse_prsn,shirts_blouse_prd,sleeveless_prsn,sleeveless_prd,sweatshirts_prsn,sweatshirts_prd
0.1,91.7,98.6,84.8,100.0,83.33333333333334,103.33333333333334,100.0,76.66666666666667,83.33333333333334,100.0,96.66666666666667,103.33333333333334,93.33333333333333,106.66666666666667,63.33333333333333,110.00000000000001,80.0,75.0,65.0,95.0,85.0,100.0,70.0,80.0,35.0,103.33333333333334,90.0,100.0,100.0,103.33333333333334,96.66666666666667,100.0,96.66666666666667,100.0,96.66666666666667,106.66666666666667,63.33333333333333,96.66666666666667,100.0
0.2,87.9,96.0,79.80000000000001,100.0,83.33333333333334,103.33333333333334,100.0,76.66666666666667,76.66666666666667,100.0,96.66666666666667,96.66666666666667,76.66666666666667,106.66666666666667,43.333333333333336,103.33333333333334,73.33333333333333,65.0,65.0,95.0,85.0,100.0,60.0,80.0,35.0,100.0,80.0,100.0,100.0,100.0,93.33333333333333,100.0,93.33333333333333,86.66666666666667,93.33333333333333,103.33333333333334,56.666666666666664,96.66666666666667,100.0
0.30000000000000004,85.2,93.4,77.0,100.0,83.33333333333334,103.33333333333334,100.0,73.33333333333333,73.33333333333333,100.0,96.66666666666667,90.0,73.33333333333333,100.0,36.666666666666664,100.0,70.0,60.0,60.0,95.0,80.0,100.0,60.0,80.0,25.0,100.0,73.33333333333333,96.66666666666667,100.0,96.66666666666667,90.0,96.66666666666667,93.33333333333333,83.33333333333334,93.33333333333333,96.66666666666667,50.0,96.66666666666667,100.0
0.4,81.6,90.8,72.39999999999999,100.0,83.33333333333334,100.0,100.0,70.0,66.66666666666666,100.0,96.66666666666667,90.0,73.33333333333333,90.0,16.666666666666664,100.0,60.0,60.0,50.0,95.0,80.0,100.0,50.0,75.0,20.0,96.66666666666667,70.0,96.66666666666667,93.33333333333333,93.33333333333333,86.66666666666667,93.33333333333333,93.33333333333333,73.33333333333333,90.0,93.33333333333333,43.333333333333336,96.66666666666667,100.0
0.5,77.8,87.8,67.80000000000001,93.33333333333333,76.66666666666667,100.0,100.0,63.33333333333333,66.66666666666666,100.0,93.33333333333333,90.0,70.0,86.66666666666667,10.0,100.0,53.333333333333336,55.00000000000001,40.0,95.0,75.0,100.0,45.0,65.0,10.0,93.33333333333333,60.0,90.0,90.0,93.33333333333333,86.66666666666667,86.66666666666667,83.33333333333334,70.0,90.0,90.0,36.666666666666664,96.66666666666667,100.0
0.6,72.7,84.2,61.199999999999996,93.33333333333333,76.66666666666667,96.66666666666667,100.0,63.33333333333333,43.333333333333336,93.33333333333333,83.33333333333334,80.0,56.666666666666664,83.33333333333334,6.666666666666667,96.66666666666667,33.33333333333333,45.0,35.0,95.0,75.0,100.0,40.0,60.0,5.0,93.33333333333333,60.0,83.33333333333334,83.33333333333334,93.33333333333333,80.0,86.66666666666667,76.66666666666667,63.33333333333333,86.66666666666667,90.0,33.33333333333333,86.66666666666667,96.66666666666667
0.7000000000000001,66.60000000000001,79.2,54.0,90.0,73.33333333333333,90.0,96.66666666666667,63.33333333333333,43.333333333333336,93.33333333333333,80.0,80.0,36.666666666666664,76.66666666666667,6.666666666666667,86.66666666666667,23.333333333333332,40.0,25.0,95.0,70.0,100.0,30.0,45.0,5.0,86.66666666666667,50.0,76.66666666666667,73.33333333333333,83.33333333333334,73.33333333333333,83.33333333333334,63.33333333333333,53.333333333333336,80.0,90.0,26.666666666666668,80.0,86.66666666666667
0.8,56.05605605605606,69.39999999999999,42.68537074148296,86.66666666666667,70.0,76.66666666666667,93.33333333333333,56.666666666666664,33.33333333333333,90.0,66.66666666666666,73.33333333333333,20.0,70.0,0.0,80.0,6.666666666666667,25.0,10.0,95.0,50.0,95.0,10.0,40.0,5.0,80.0,46.666666666666664,46.666666666666664,53.333333333333336,76.66666666666667,60.0,63.33333333333333,46.666666666666664,43.333333333333336,63.33333333333333,76.66666666666667,23.333333333333332,66.66666666666666,76.66666666666667
0.9,27.738693467336685,35.4,20.0,36.666666666666664,33.33333333333333,40.0,63.33333333333333,20.0,13.333333333333334,56.666666666666664,26.666666666666668,30.0,6.666666666666667,30.0,0.0,33.33333333333333,0.0,5.0,0.0,65.0,10.0,80.0,0.0,20.0,0.0,40.0,20.0,26.666666666666668,20.0,53.333333333333336,20.0,40.0,20.0,13.333333333333334,40.0,20.0,16.666666666666664,36.666666666666664,43.333333333333336
